CVEGEO_INEGI,CVE_ENT_INEGI,CVE_MUN_INEGI,NOMGEOINEGI,CVEGEO_INEGI,CVE_ENT_INE,CVE_MUN_INE,NOM_INE,CVEGEO_INE
31001,31,1,Abala,31001,31,1,ABALA,31001
11001,11,1,Abasolo,11001,11,1,ABASOLO,11001
19001,19,1,Abasolo,19001,19,1,ABASOLO,19001
31002,31,2,Acanceh,31002,31,2,ACANCEH,31002
25009,25,9,Escuinapa,25009,25,9,ESCUINAPA,25009
7032,7,32,Escuintla,7032,7,32,ESCUINTLA,7032
29012,29,12,Españita,29012,29,12,ESPAÑITA,29012
21063,21,63,Esperanza,21063,21,64,ESPERANZA,21064
30066,30,66,Espinal,30066,30,68,ESPINAL,30068
5001,5,1,Abasolo,5001,5,1,ABASOLO,5001
30002,30,2,Acatlan,30002,30,2,ACATLAN,30002
21003,21,3,Acatlan,21003,21,3,ACATLAN,21003
9007,9,7,Iztapalapa,9007,9,7,IZTAPALAPA,9007
21085,21,85,Izucar de Matamoros,21085,21,87,IZUCAR DE MATAMOROS,21087
13031,13,31,Jacala de Ledezma,13031,13,31,JACALA DE LEDEZMA,13031
28001,28,1,Abasolo,28001,28,1,ABASOLO,28001
20001,20,1,Abejones,20001,20,1,ABEJONES,20001
31003,31,3,Akil,31003,31,3,AKIL,31003
30160,30,160,alamo Temapache,30160,30,8,ALAMO TEMAPACHE,30008
26003,26,3,alamos,26003,26,62,ALAMOS,26062
7001,7,1,Acacoyagua,7001,7,1,ACACOYAGUA,7001
30001,30,1,Acajete,30001,30,1,ACAJETE,30001
21001,21,1,Acajete,21001,21,1,ACAJETE,21001
7002,7,2,Acala,7002,7,2,ACALA,7002
11002,11,2,Acambaro,11002,11,2,ACAMBARO,11002
15001,15,1,Acambay de Ruiz Castañeda,15001,15,1,ACAMBAY DE RUIZ CASTAÑEDA,15001
7003,7,3,Acapetahua,7003,7,3,ACAPETAHUA,7003
18001,18,1,Acaponeta,18001,18,1,ACAPONETA,18001
12001,12,1,Acapulco de Juarez,12001,12,1,ACAPULCO DE JUAREZ,12001
21002,21,2,Acateno,21002,21,2,ACATENO,21002
12076,12,76,Acatepec,12076,12,76,ACATEPEC,12076
31032,31,32,Espita,31032,31,32,ESPITA,31032
26026,26,26,Etchojoa,26026,26,63,ETCHOJOA,26063
14036,14,36,Etzatlan,14036,14,37,ETZATLAN,14037
14001,14,1,Acatic,14001,14,1,ACATIC,14001
13001,13,1,Acatlan,13001,13,1,ACATLAN,13001
22007,22,7,Ezequiel Montes,22007,22,6,EZEQUIEL MONTES,22006
23002,23,2,Felipe Carrillo Puerto,23002,23,3,FELIPE CARRILLO PUERTO,23003
30067,30,67,Filomeno Mata,30067,30,69,FILOMENO MATA,30069
12030,12,30,Florencio Villarreal,12030,12,31,FLORENCIO VILLARREAL,12031
30068,30,68,Fortin,30068,30,70,FORTIN,30070
5009,5,9,Francisco I. Madero,5009,5,9,FRANCISCO I. MADERO,5009
30209,30,209,Tatahuicapan de Juarez,30209,30,210,TATAHUICAPAN DE JUAREZ,30210
20543,20,543,Tataltepec de Valdes,20543,20,542,TATALTEPEC DE VALDES,20542
30156,30,156,Tatatila,30156,30,157,TATATILA,30157
12055,12,55,Taxco de Alarcon,12055,12,56,TAXCO DE ALARCON,12056
14002,14,2,Acatlan de Juarez,14002,14,2,ACATLAN DE JUAREZ,14002
20002,20,2,Acatlan de Perez Figueroa,20002,20,2,ACATLAN DE PEREZ FIGUEROA,20002
21004,21,4,Acatzingo,21004,21,4,ACATZINGO,21004
13002,13,2,Acaxochitlan,13002,13,2,ACAXOCHITLAN,13002
30003,30,3,Acayucan,30003,30,3,ACAYUCAN,30003
15002,15,2,Acolman,15002,15,2,ACOLMAN,15002
26001,26,1,Aconchi,26001,26,1,ACONCHI,26001
21005,21,5,Acteopan,21005,21,5,ACTEOPAN,21005
30004,30,4,Actopan,30004,30,4,ACTOPAN,30004
13003,13,3,Actopan,13003,13,3,ACTOPAN,13003
20174,20,174,animas Trujano,20174,20,3,ANIMAS TRUJANO,20003
29022,29,22,Acuamanala de Miguel Hidalgo,29022,29,22,ACUAMANALA DE MIGUEL HIDALGO,29022
24002,24,2,Alaquines,24002,24,2,ALAQUINES,24002
21011,21,11,Albino Zertuche,21011,21,11,ALBINO ZERTUCHE,21011
1002,1,2,Asientos,1002,1,2,ASIENTOS,1002
21169,21,169,Tepexi de Rodriguez,21169,21,168,TEPEXI DE RODRIGUEZ,21168
21170,21,170,Tepeyahualco,21170,21,169,TEPEYAHUALCO,21169
16001,16,1,Acuitzio,16001,16,1,ACUITZIO,16001
30005,30,5,Acula,30005,30,5,ACULA,30005
15003,15,3,Aculco,15003,15,3,ACULCO,15003
30006,30,6,Acultzingo,30006,30,6,ACULTZINGO,30006
5002,5,2,Acuña,5002,5,2,ACUÑA,5002
13004,13,4,Agua Blanca de Iturbide,13004,13,4,AGUA BLANCA DE ITURBIDE,13004
30204,30,204,Agua Dulce,30204,30,206,AGUA DULCE,30206
26002,26,2,Agua Prieta,26002,26,2,AGUA PRIETA,26002
19002,19,2,Agualeguas,19002,19,2,AGUALEGUAS,19002
1001,1,1,Aguascalientes,1001,1,1,AGUASCALIENTES,1001
16002,16,2,Aguililla,16002,16,2,AGUILILLA,16002
25001,25,1,Ahome,25001,25,1,AHOME,25001
18002,18,2,Ahuacatlan,18002,18,2,AHUACATLAN,18002
21006,21,6,Ahuacatlan,21006,21,6,AHUACATLAN,21006
12002,12,2,Ahuacuotzingo,12002,12,2,AHUACUOTZINGO,12002
24001,24,1,Ahualulco,24001,24,1,AHUALULCO,24001
12004,12,4,Alcozauca de Guerrero,12004,12,4,ALCOZAUCA DE GUERRERO,12004
28002,28,2,Aldama,28002,28,2,ALDAMA,28002
8002,8,2,Aldama,8002,8,2,ALDAMA,8002
14003,14,3,Ahualulco de Mercado,14003,14,3,AHUALULCO DE MERCADO,14003
